Property_ID,Price,Number of frontages,Living area,Kitchen type,Bedrooms,Furnished,Postal_Code,Locality_Name,extra,Subtype_of_property,Type_of_property,Terrace surface,Garden surface,Type of building,How many fireplaces?
20088520,480000€,4,155,Semi equipped,2,No,2500,lier,for-sale,exceptional-property,house,30,800,,
20237563,315000€,2,143,Installed,6,No,3790,mouland,for-sale,house,house,,,,
20237562,900000€,4,296,,4,,1401,nivelles,for-sale,house,house,,,All kind,
20237561,409000€,2,118,Installed,3,No,9050,gent,for-sale,house,house,,20,,
20237561,409000€,2,118,Installed,3,No,9050,gent,for-sale,house,house,,20,,
20219364,450000€,4,296,Installed,6,,1430,rebecq,for-sale,villa,house,,1225,Villa,1
20237559,365000€,3,135,,3,No,3090,overijse,for-sale,house,house,,70,,
20237557,542000€,4,222,Installed,5,,3000,herent,for-sale,villa,house,,,,1
20237556,1495000€,4,381,Hyper equipped,4,,1700,dilbeek,for-sale,exceptional-property,house,,,,1
20237549,265000€,4,207,Hyper equipped,5,No,6460,salles,for-sale,house,house,,510,,1
20237552,498000€,4,381,Semi equipped,3,No,6110,montigny-le-tilleul,for-sale,villa,house,37,1000,,
20237551,165000€,3,207,Installed,5,No,6460,salles,for-sale,house,house,,85,,1
20237550,125000€,4,64,Installed,1,No,5660,mariembourg,for-sale,house,house,30,,,
20237547,695000€,4,368,Installed,4,No,6120,nalinnes,for-sale,villa,house,50,2000,,
10588513,From 366000€ To 425000€,,,,,,3970,leopoldsburg,for-sale,new-real-estate-project-houses,house,,,,
20237423,595000€,,200,Installed,5,,2630,aartselaar,for-sale,house,house,,,,
20237417,334000€,2,205,USA hyper equipped,4,,2660,hoboken,for-sale,house,house,,70,,
20237416,55000€,2,70,Installed,1,No,6060,gilly-charleroi,for-sale,house,house,,,,
20237415,199000€,2,122,Installed,4,No,6200,bouffioulx,for-sale,house,house,4,35,,
20181411,590000€,4,250,Installed,3,,9111,sint-niklaas,for-sale,house,house,25,400,Bungalow,
20237413,475000€,4,189,Hyper equipped,4,No,2180,ekeren-antwerpen,for-sale,house,house,,,House,
20237412,89500€,2,66,Semi equipped,2,,7641,bruyelle,for-sale,house,house,,,,
20237411,499000€,4,160,Installed,3,,8790,waregem,for-sale,villa,house,,,,1
11485739,250000€,2,130,,4,,4801,verviers,for-sale,house,house,10,222,All kind,
20237407,1490000€,4,385,Installed,5,No,1301,bierges,for-sale,house,house,80,4900,,1
20237406,1490000€,4,385,Installed,5,,1300,wavre,for-sale,house,house,80,4900,,1
20237402,799000€,2,384,Installed,9,,1030,schaerbeek,for-sale,apartment-block,house,,40,,
20237399,290000€,4,336,Semi equipped,4,,7950,huissignies,for-sale,house,house,,,,
20237383,689000€,,329,Installed,6,,9140,temse,for-sale,house,house,,,,1
20237375,265000€,4,110,Installed,3,,6040,jumet,for-sale,house,house,15,500,,1
20039580,425000€,4,191,Installed,4,,9100,sint-niklaas,for-sale,house,house,15,,,
20237374,429000€,3,,Installed,3,,9120,beveren,for-sale,house,house,,334,All kind,
20237372,179000€,3,100,Semi equipped,4,,6220,fleurus,for-sale,apartment-block,house,,,,
20237367,415000€,4,217,,5,,2490,balen,for-sale,house,house,,,,1
20237368,420000€,4,553,,4,,3970,leopoldsburg,for-sale,house,house,,,,
20237366,259000€,3,130,,2,No,2950,kapellen,for-sale,house,house,17,,,
20237362,419000€,2,209,Installed,4,,2170,merksem,for-sale,house,house,,27,,
20237361,485000€,2,234,Installed,3,No,9000,gent,for-sale,house,house,60,65,,
20237353,239000€,2,162,Installed,4,No,2140,borgerhout,for-sale,house,house,,,,
20237354,239000€,2,162,Installed,4,No,2140,borgerhout,for-sale,house,house,,,,
20237346,95000€,,,,3,,7370,elouges,for-sale,house,house,,,,
20237336,269000€,2,90,Installed,2,,2845,niel,for-sale,house,house,14,,,
20237323,399000€,3,200,Installed,3,,2520,ranst,for-sale,house,house,10,118,,1
20237319,295000€,3,128,,3,,3945,ham,for-sale,house,house,,,,
20237317,284000€,4,131,,3,,2260,westerlo,for-sale,house,house,,,All kind,
20237318,89000€,3,80,Semi equipped,2,No,4420,saint-nicolas,for-sale,house,house,,,,
20237315,249000€,3,126,,3,,9890,gavere,for-sale,house,house,,,All kind,
20237313,265000€,4,145,,3,,9630,zwalm,for-sale,house,house,,,All kind,
20237302,119000€,2,56,,1,,8930,menen,for-sale,house,house,,,All kind,
20237301,94800€,2,100,Not installed,2,,7370,elouges,for-sale,town-house,house,,,,
20237298,345000€,3,264,,5,,3600,genk,for-sale,house,house,,,All kind,
20043641,85000€,2,75,Semi equipped,1,,6769,meix-devant-virton,for-sale,house,house,12,,,
20109078,149000€,2,165,,1,,8501,bissegem,for-sale,house,house,,,All kind,
20237294,525000€,3,424,,5,,9860,scheldewindeke,for-sale,house,house,,,,
20237292,350000€,,210,,3,,8400,oostende,for-sale,town-house,house,,,All kind,
20237291,520000€,2,187,,5,,9000,gent,for-sale,house,house,20,41,All kind,
20237289,695000€,4,184,,3,,8650,houthulst,for-sale,house,house,,,All kind,
20237287,359000€,2,326,,4,,8740,pittem,for-sale,house,house,,,All kind,
